text,pIC50,mol,num_atoms,logP
CN1CCC(CNc2c(Cl)c[nH]c3nc(-c4cccc(F)c4)nc2-3)CC1,4.79,<rdkit.Chem.rdchem.Mol object at 0x7f59a320d000>,26,4.1227
COc1cccc(-c2nc3[nH]cc(Cl)c(NCC4CCN(C)CC4)c-3n2)c1,4.79,<rdkit.Chem.rdchem.Mol object at 0x7f59a320d070>,27,3.9922
O=C1NN(c2ccccc2)C(=O)C1=Cc1cc(Cl)ccc1OCc1ccccc1,4.82,<rdkit.Chem.rdchem.Mol object at 0x7f59a320d0e0>,29,4.3804
COc1ccc(-c2nc3[nH]cc(Cl)c(NC4CCN(C)CC4)c-3n2)cc1,4.83,<rdkit.Chem.rdchem.Mol object at 0x7f59a320d150>,26,3.7446
C#Cc1ccc(-c2nc(-c3cc[nH]c(=O)c3)c(-c3ccc(F)cc3)[nH]2)cc1,4.84,<rdkit.Chem.rdchem.Mol object at 0x7f59a320d1c0>,27,4.2194
COc1ccc(-c2nc3[nH]cc(Cl)c(NCC4CCNC4)c-3n2)cc1,4.86,<rdkit.Chem.rdchem.Mol object at 0x7f59a320d230>,25,3.2599
NCCn1c(-c2ccncc2)nc2cc(C(N)=O)ccc21,4.87,<rdkit.Chem.rdchem.Mol object at 0x7f59a320d2a0>,21,1.1559
COc1ccc(F)c(-c2nc3[nH]cc(Cl)c(NCC4CCNCC4)c-3n2)c1,4.88,<rdkit.Chem.rdchem.Mol object at 0x7f59a320d310>,27,3.7891
NC(=O)c1cnc(NC2CCC(N)CC2)c2nc(-c3ccc(Cl)cc3)cn12,4.89,<rdkit.Chem.rdchem.Mol object at 0x7f59a320d380>,27,2.8304
CCCCN(C)c1ncc(NS(=O)(=O)c2ccccc2C)cc1C(=O)O,4.91,<rdkit.Chem.rdchem.Mol object at 0x7f59a320d3f0>,26,3.12532
CC(O)Cn1c(C2CCC(O)CC2)nc2cc(C(N)=O)ccc21,4.92,<rdkit.Chem.rdchem.Mol object at 0x7f59a320d460>,23,1.5345
COc1ccc(-c2nc3[nH]cc(Cl)c(NCC4CCNCC4)c-3n2)c(F)c1,4.93,<rdkit.Chem.rdchem.Mol object at 0x7f59a320d4d0>,27,3.7891
FC(F)(F)c1nc2cnc3[nH]ccc3c2n1C1CCCCC1,4.94,<rdkit.Chem.rdchem.Mol object at 0x7f59a320d540>,22,4.4366
O=C1NC(=O)C(c2ccccc2)=C1Nc1cccc(OCCNc2ccnc(F)c2)c1,4.96,<rdkit.Chem.rdchem.Mol object at 0x7f59a320d5b0>,31,3.1912
O=C1Nc2ccc3c(oc4ccccc43)c2C1=NNc1ccncc1,4.96,<rdkit.Chem.rdchem.Mol object at 0x7f59a320d620>,25,3.7493
O=C1c2oc(-c3ccc(Cl)cc3)cc2Cc2cc(N3CCNCC3)ccc2N1Cc1ccccc1-c1cccnc1,4.96,<rdkit.Chem.rdchem.Mol object at 0x7f59a320d690>,41,6.82280000000001
COc1ccc(-c2nc3[nH]cc(C(N)=O)c(NCC4CCN(C)CC4)c-3n2)cc1,4.99,<rdkit.Chem.rdchem.Mol object at 0x7f59a320d700>,29,2.4377
O=C1NC(=O)C(c2c[nH]c3ccccc23)=C1Nc1cccc(OC2CN(c3ccnc(F)c3)C2)c1,5,<rdkit.Chem.rdchem.Mol object at 0x7f59a320d770>,35,3.4492
COc1ccc(-c2nc3[nH]cc(Cl)c(NCC4CCN(C)CC4)c-3n2)cc1OC,5,<rdkit.Chem.rdchem.Mol object at 0x7f59a320d7e0>,29,4.0008
COc1ccc(-c2nc3[nH]cc(Cl)c(OCC4CCNCC4)c-3n2)cc1,5,<rdkit.Chem.rdchem.Mol object at 0x7f59a320d850>,26,3.6169
C=Cc1nc(NC(=O)Nc2ccc(N3CCNCC3)cc2)nn1C(=C)c1ccc(S(C)(=O)=O)cc1,5,<rdkit.Chem.rdchem.Mol object at 0x7f59a320d8c0>,35,2.8972
COc1ccccc1Nc1nc2c(-c3ccc(C(F)(F)F)cc3)cccn2n1,5,<rdkit.Chem.rdchem.Mol object at 0x7f59a320d930>,28,5.1673
COc1ccccc1Nc1nc2c(-c3ccccc3)cccn2n1,5,<rdkit.Chem.rdchem.Mol object at 0x7f59a320d9a0>,24,4.1485
CNC(=O)c1cccc(-c2cccn3nc(Nc4ccccc4OC)nc23)c1,5,<rdkit.Chem.rdchem.Mol object at 0x7f59a320da10>,28,3.5081
CNC(=O)c1ccc(-c2cccn3nc(Nc4ccccc4OC)nc23)cc1,5,<rdkit.Chem.rdchem.Mol object at 0x7f59a320da80>,28,3.5081
CS(=O)(=O)c1ccc(-c2ccc3nc(Nc4ccc(N5CCOCC5)cc4)nn3c2)cc1,5,<rdkit.Chem.rdchem.Mol object at 0x7f59a320daf0>,32,3.38
CS(=O)(=O)c1ccccc1Nc1nc2c(Nc3ccccc3S(C)(=O)=O)cccn2n1,5,<rdkit.Chem.rdchem.Mol object at 0x7f59a320db60>,31,3.0235
c1ccc(-c2cccc3nc(Nc4ccc(OCCN5CCCC5)cc4)nn23)cc1,5,<rdkit.Chem.rdchem.Mol object at 0x7f59a320dbd0>,30,4.6145
CN1CCN(c2nc3c(NCc4cccc([N+](=O)[O-])c4)cccn3n2)CC1,5,<rdkit.Chem.rdchem.Mol object at 0x7f59a320dc40>,27,2.0014
O=[N+]([O-])c1cccc(CNc2cccn3nc(N4CCOCC4)nc23)c1,5,<rdkit.Chem.rdchem.Mol object at 0x7f59a320dcb0>,26,2.0862
NC1CCN(c2nc3c(NCc4cccnc4)cccn3n2)CC1,5,<rdkit.Chem.rdchem.Mol object at 0x7f59a320dd20>,24,1.6639
c1cncc(CNc2cccn3nc(NCCN4CCOCC4)nc23)c1,5,<rdkit.Chem.rdchem.Mol object at 0x7f59a320dd90>,26,1.4805
CN1CCN(c2cccc(Nc3nc4c(-c5ccc(S(C)(=O)=O)cc5)cc(C(F)(F)F)cn4n3)c2)CC1,5,<rdkit.Chem.rdchem.Mol object at 0x7f59a320de00>,37,4.314
CN1CCN(c2ccc(Nc3nc4c(-c5ccc(S(C)(=O)=O)cc5)cc(C(F)(F)F)cn4n3)cc2)CC1,5,<rdkit.Chem.rdchem.Mol object at 0x7f59a320de70>,37,4.314
c1ccc2c(c1)CCCN2c1nc2cccc(N3CCCc4ccccc43)n2n1,5,<rdkit.Chem.rdchem.Mol object at 0x7f59a320dee0>,29,4.8979
COCc1ccccc1-c1cccc2nc(Nc3ccc4c(c3)CCNCC4)nn12,5,<rdkit.Chem.rdchem.Mol object at 0x7f59a320df50>,30,3.9745
COc1ccc(C(F)(F)F)cc1-c1cccn2nc(Nc3cccc(C4CCN(C(=O)OC(C)(C)C)CC4)c3)nc12,5,<rdkit.Chem.rdchem.Mol object at 0x7f59a320dfc0>,41,7.28180000000001
CC(=O)Nc1ccc(Sc2cccn3nc(Nc4ccc(C5CCN(C(=O)OC(C)(C)C)CC5)cc4)nc23)cc1,5,<rdkit.Chem.rdchem.Mol object at 0x7f59a320e030>,40,6.69700000000001
COc1ccc(CNc2cccn3nc(Nc4cccc(N5CCN(C)CC5)c4)nc23)cc1,5,<rdkit.Chem.rdchem.Mol object at 0x7f59a320e0a0>,33,3.8454
COc1cccc(CNc2cccn3nc(Nc4ccc(OC)nc4)nc23)c1,5,<rdkit.Chem.rdchem.Mol object at 0x7f59a320e110>,28,3.4972
CS(=O)(=O)c1ccc(-c2cccn3nc(NCCc4ccccn4)nc23)cc1,5,<rdkit.Chem.rdchem.Mol object at 0x7f59a320e180>,28,2.8494
O=C1NC(=O)C(c2c[nH]c3ccccc23)=C1Nc1ccc(OCCNc2ccnc(F)c2)cc1,5.01,<rdkit.Chem.rdchem.Mol object at 0x7f59a320e1f0>,34,3.6725
COc1ccc(-c2nc3[nH]cc(Cl)c(NCC4CCN(C)CC4)c-3n2)cc1,5.02,<rdkit.Chem.rdchem.Mol object at 0x7f59a320e260>,27,3.9922
COc1cccc(NC(=O)c2cnc(N3CCN(c4ccccc4OC)CC3)c([N+](=O)[O-])c2)c1,5.02,<rdkit.Chem.rdchem.Mol object at 0x7f59a320e2d0>,34,3.5859
O=c1[nH]c(CSc2nnc(NCC3CCCO3)s2)nc2sc(-c3ccccc3)cc12,5.05,<rdkit.Chem.rdchem.Mol object at 0x7f59a320e340>,30,4.3863
COc1cccc(NC(=O)c2cnc(Nc3cccc(OC)c3)c([N+](=O)[O-])c2)c1,5.07,<rdkit.Chem.rdchem.Mol object at 0x7f59a320e3b0>,29,4.0029
CC(=O)Nc1ccc(-c2ccnc(NCCCNC(=O)c3c(Cl)cccc3Cl)n2)cc1,5.09,<rdkit.Chem.rdchem.Mol object at 0x7f59a320e420>,31,4.6408
c1ccc2c(c1)CCCC2Nc1ccnc(-n2cnc3ccncc32)n1,5.14,<rdkit.Chem.rdchem.Mol object at 0x7f59a320e490>,26,3.7
CN(c1[nH]cnc2nccc1-2)C1CC(NS(=O)(=O)CC2CC2)C1,5.14,<rdkit.Chem.rdchem.Mol object at 0x7f59a320e500>,23,1.2061
O=C(O)Cc1cnc(Nc2[nH]nc3ccc(-c4ncccc4Cl)cc23)s1,5.15,<rdkit.Chem.rdchem.Mol object at 0x7f59a320e570>,26,4.1055
CC1CC(C)CN(c2ccc(Nc3ncc(C(F)(F)F)c(-c4cc5ccc(C#N)cc5o4)n3)cc2)C1,5.15,<rdkit.Chem.rdchem.Mol object at 0x7f59a320e5e0>,36,7.00618000000001
O=c1[nH]c2cnc(-n3cnc4ccccc43)nc2n1C1CCOc2c(F)cccc21,5.16,<rdkit.Chem.rdchem.Mol object at 0x7f59a320e650>,30,2.9695
Nc1ncc(-c2cnn(CC(=O)N3CCOCC3)c2)c2scc(-c3ccc(Oc4ccccc4)cc3)c12,5.16,<rdkit.Chem.rdchem.Mol object at 0x7f59a320e6c0>,37,5.06010000000001
Cc1ccccc1S(=O)(=O)Nc1cnc(N2CCCCC2)c(C(=O)O)c1,5.16,<rdkit.Chem.rdchem.Mol object at 0x7f59a320e730>,26,2.87932
Fc1cccc(C2CCCN2c2ccc3ncc(-c4ccccn4)n3n2)c1,5.17,<rdkit.Chem.rdchem.Mol object at 0x7f59a320e7a0>,27,4.2719
O=c1cc(-c2nc(C3CCNCC3)[nH]c2-c2ccc(F)cc2)cc[nH]1,5.18,<rdkit.Chem.rdchem.Mol object at 0x7f59a320e810>,25,3.0381
O=C(Nc1nc2cccc(-c3ccc(CN4CCCCC4)cc3)n2n1)C1CC1,5.19,<rdkit.Chem.rdchem.Mol object at 0x7f59a320e880>,28,3.7307
COc1ccc(C(F)(F)F)cc1-c1cccn2nc(Nc3ccc(C4CCN(C(=O)OC(C)(C)C)CC4)cc3)nc12,5.19,<rdkit.Chem.rdchem.Mol object at 0x7f59a320e8f0>,41,7.28180000000001
CN1CCN(c2cncc(Nc3nc4c(NCc5ccccc5N(C)S(C)(=O)=O)cccn4n3)n2)CC1,5.19,<rdkit.Chem.rdchem.Mol object at 0x7f59a320e960>,37,2.0226
CS(=O)(=O)c1ccc(-c2cccn3nc(NCc4ccccn4)nc23)cc1,5.19,<rdkit.Chem.rdchem.Mol object at 0x7f59a320e9d0>,27,2.8069
CC(=O)Nc1ccc(-c2nc(Nc3ccc(N4CCOCC4)cc3)ncc2F)cc1,5.19,<rdkit.Chem.rdchem.Mol object at 0x7f59a320ea40>,30,3.8213
O=C1NN(c2ccccc2)C(=O)C1=Cc1ccc(-c2ccccc2Cl)o1,5.22,<rdkit.Chem.rdchem.Mol object at 0x7f59a320eab0>,26,4.0614
Cc1nc2cnc3[nH]ccc3c2n1C1CCCCC1,5.22,<rdkit.Chem.rdchem.Mol object at 0x7f59a320eb20>,19,3.72622
CC(C)c1ccc(-c2nc3cc(C(N)=O)ccc3n2CCN)cc1,5.23,<rdkit.Chem.rdchem.Mol object at 0x7f59a320eb90>,24,2.8843
c1cc2c(ncc3ncn(C4CCCCC4)c32)[nH]1,5.24,<rdkit.Chem.rdchem.Mol object at 0x7f59a320ec00>,18,3.4178
Oc1ccc(C2Nc3ccccc3-c3ccnc4[nH]cc2c34)c(Cl)c1,5.25,<rdkit.Chem.rdchem.Mol object at 0x7f59a320ec70>,25,5.1038
CN(c1[nH]cnc2nccc1-2)C1CC(NS(=O)(=O)c2cccc(C(C)(C)O)c2)C1,5.25,<rdkit.Chem.rdchem.Mol object at 0x7f59a320ece0>,29,2.0826
OC1CCN(c2cc(-c3cnc4ccc(N5CCCC5c5cccc(F)c5)nn34)ccn2)CC1,5.25,<rdkit.Chem.rdchem.Mol object at 0x7f59a320ed50>,34,4.233
CN1CCN(Cc2ccc(-c3cccc4nc(NC(=O)C5CC5)nn34)cc2)CC1,5.29,<rdkit.Chem.rdchem.Mol object at 0x7f59a320edc0>,29,2.4922
Oc1ccc(C2Nc3ccccc3-c3ccnc4[nH]cc2c34)cc1Br,5.3,<rdkit.Chem.rdchem.Mol object at 0x7f59a320ee30>,25,5.2129
CN(C)c1cccc(Nc2nc(N)n(C(=O)c3c(F)cccc3F)n2)c1,5.3,<rdkit.Chem.rdchem.Mol object at 0x7f59a320eea0>,26,2.6366
COc1ccc(-c2nc3[nH]cc(Br)c(NCC4CCN(C)CC4)c-3n2)cc1,5.32,<rdkit.Chem.rdchem.Mol object at 0x7f59a320ef10>,27,4.1013
NCCn1c(-c2ccc(C(F)(F)F)cc2)nc2cc(C(N)=O)ccc21,5.32,<rdkit.Chem.rdchem.Mol object at 0x7f59a320ef80>,25,2.7797
NCCn1c(-c2cccnc2N)nc2cc(C(N)=O)ccc21,5.33,<rdkit.Chem.rdchem.Mol object at 0x7f59a320eff0>,22,0.7381
N#Cc1ccc(-c2cnc3ccc(NCc4ccccc4)nn23)cc1,5.33,<rdkit.Chem.rdchem.Mol object at 0x7f59a320f060>,25,3.88008
CN(C(=O)NC1CCCN(S(C)(=O)=O)C1)c1cnc2[nH]ccc2n1,5.36,<rdkit.Chem.rdchem.Mol object at 0x7f59a320f0d0>,24,0.5277
CCOP(=O)(CCn1cc(-c2ccc(-c3nc(-c4cc[nH]c(=O)c4)c(-c4ccc(F)cc4)[nH]3)cc2)nn1)OCC,5.38,<rdkit.Chem.rdchem.Mol object at 0x7f59a320f140>,40,5.76270000000001
NCCn1c(C2CCCCC2)nc2cc(C(N)=O)ccc21,5.39,<rdkit.Chem.rdchem.Mol object at 0x7f59a320f1b0>,21,2.1416
CNCCn1c(C2CCC(O)CC2)nc2cc(C(N)=O)ccc21,5.41,<rdkit.Chem.rdchem.Mol object at 0x7f59a320f220>,23,1.3731
CC(C)N1CCC(S(=O)(=O)CC2CC(N(C)c3[nH]cnc4nccc3-4)C2)C1,5.42,<rdkit.Chem.rdchem.Mol object at 0x7f59a320f290>,27,2.0218
O=C1NC(=O)C(c2cn(CCCn3ccnc3)c3ccccc23)=C1Nc1ccccc1,5.42,<rdkit.Chem.rdchem.Mol object at 0x7f59a320f300>,31,3.4077
O=C(CCc1nc2ccccc2c(=O)[nH]1)Nc1ncc(Cc2ccc(F)c(F)c2)s1,5.43,<rdkit.Chem.rdchem.Mol object at 0x7f59a320f370>,30,3.8199
O=C(O)c1cc(-c2nc(-c3cc[nH]c(=O)c3)c(-c3ccc(F)cc3)[nH]2)ccc1O,5.43,<rdkit.Chem.rdchem.Mol object at 0x7f59a320f3e0>,29,3.6419
O=c1[nH]c2cnc(-n3cnc4ccc(F)cc43)nc2n1C1CCOCC1,5.47,<rdkit.Chem.rdchem.Mol object at 0x7f59a320f450>,26,1.9491
CN(c1[nH]cnc2nccc1-2)C1CC(NS(=O)(=O)N2CCC(C#N)C2)C1,5.47,<rdkit.Chem.rdchem.Mol object at 0x7f59a320f4c0>,26,0.55658
O=c1[nH]c2cnc(-n3cnc4ccccc43)nc2n1C1CCOCC1,5.49,<rdkit.Chem.rdchem.Mol object at 0x7f59a320f530>,25,1.81
NC(=O)c1ccc2c(c1)nc(C1CCC(O)CC1)n2CCO,5.5,<rdkit.Chem.rdchem.Mol object at 0x7f59a320f5a0>,22,1.146
NCCn1c(C2CCNCC2)nc2cc(C(N)=O)ccc21,5.5,<rdkit.Chem.rdchem.Mol object at 0x7f59a320f610>,21,0.5609
NC(=O)c1cc(-c2ccnc(N)n2)[nH]c1-c1ccccc1,5.5,<rdkit.Chem.rdchem.Mol object at 0x7f59a320f680>,21,1.8198
CNCCn1c(C2CCNCC2)nc2cc(C(N)=O)ccc21,5.51,<rdkit.Chem.rdchem.Mol object at 0x7f59a320f6f0>,22,0.821599999999999
Cc1ccc(OCC(C)C)c(-c2cccn3nc(Nc4ccc5c(c4)CCNCC5)nc23)c1,5.51,<rdkit.Chem.rdchem.Mol object at 0x7f59a320f760>,33,5.17132
Cc1ccc(Cl)cc1-c1[nH]c(-c2ccnc(N)n2)cc1C(=O)N(C)C,5.51,<rdkit.Chem.rdchem.Mol object at 0x7f59a320f7d0>,25,3.38452
Cc1c(NC(=O)c2ccc(C(C)(C)C)cc2)cccc1-c1nc2ncnc-2c(Nc2ccc(C(=O)N3CCOCC3)cc2)[nH]1,5.51,<rdkit.Chem.rdchem.Mol object at 0x7f59a320f840>,44,6.04572000000001
COc1ccc(-c2nc3[nH]cc(Cl)c(NCC4CCCNC4)c-3n2)cc1,5.52,<rdkit.Chem.rdchem.Mol object at 0x7f59a320f8b0>,26,3.65
c1cc(-c2ccncc2)c2nc(Nc3ccc(OCCN4CCCC4)cc3)nn2c1,5.52,<rdkit.Chem.rdchem.Mol object at 0x7f59a320f920>,30,4.0095
COc1ccccc1Nc1nc2c(-c3cccc(C(F)(F)F)c3)cccn2n1,5.52,<rdkit.Chem.rdchem.Mol object at 0x7f59a320f990>,28,5.1673
COc1cc(N2CCN(C)CC2)ccc1Nc1nc2c(NCc3cccnc3N(C)S(C)(=O)=O)cccn2n1,5.52,<rdkit.Chem.rdchem.Mol object at 0x7f59a320fa00>,39,2.6362
Cc1nn(C)c(C)c1Nc1nc2c(-c3ccc(S(C)(=O)=O)cc3)cccn2n1,5.52,<rdkit.Chem.rdchem.Mol object at 0x7f59a320fa70>,28,2.89374
CS(=O)(=O)c1ccc(Oc2cccn3nc(Nc4cnn(CCN5CCCC5)c4)nc23)cc1,5.52,<rdkit.Chem.rdchem.Mol object at 0x7f59a320fae0>,33,2.961
Oc1cccn2nc(Nc3ccc(C(F)(F)F)cc3)nc12,5.52,<rdkit.Chem.rdchem.Mol object at 0x7f59a320fb50>,21,3.1973
COc1ccc(C(F)(F)F)cc1Nc1cccn2nc(Nc3cccc(N4CCN(C)CC4)c3)nc12,5.52,<rdkit.Chem.rdchem.Mol object at 0x7f59a320fbc0>,36,4.9957
CC(C)COc1ccc(C(F)(F)F)cc1-c1cccn2nc(Nc3ccc4c(c3)CCN(CC(=O)N(C)C)CC4)nc12,5.52,<rdkit.Chem.rdchem.Mol object at 0x7f59a320fc30>,42,5.68230000000001
COc1ccc(CNc2cccn3nc(Nc4ccc(N5CCN(C)CC5)cc4)nc23)cc1,5.52,<rdkit.Chem.rdchem.Mol object at 0x7f59a320fca0>,33,3.8454
COc1cccc(CNc2cccn3nc(Nc4cccc(N5CCN(C)CC5)c4)nc23)c1,5.52,<rdkit.Chem.rdchem.Mol object at 0x7f59a320fd10>,33,3.8454
CN1CCN(c2ccc(Nc3nc4ccc(-c5ccc(S(C)(=O)=O)cc5)cn4n3)cc2)CC1,5.53,<rdkit.Chem.rdchem.Mol object at 0x7f59a320fd80>,33,3.2952
CN(C)Cc1ccc(-c2ccc3cnc(Nc4ccc(C5CCN(CC(N)=O)CC5)cc4)nn23)cc1,5.54,<rdkit.Chem.rdchem.Mol object at 0x7f59a320fdf0>,36,3.8662
COc1ccc(-c2nc3[nH]cc(Cl)c(NCC4CCNCC4)c-3n2)c(C)c1,5.54,<rdkit.Chem.rdchem.Mol object at 0x7f59a320fe60>,27,3.95842
NCCc1nc2cc(C(N)=O)ccc2n1CCN,5.54,<rdkit.Chem.rdchem.Mol object at 0x7f59a320fed0>,18,-0.404899999999999
CCn1nc(C#Cc2cc(C(=O)Nc3ccc(CN4CCN(C)CC4)c(C(F)(F)F)c3)ccc2C)c2c(N)ncnc21,5.54,<rdkit.Chem.rdchem.Mol object at 0x7f59a320ff40>,42,4.15512
Cc1ccc(Cl)cc1-c1cn(-c2ncnn3cccc23)cc1C(N)=O,5.54,<rdkit.Chem.rdchem.Mol object at 0x7f59a31dc040>,25,3.24772
COc1ccc(-c2cccn3nc(N)nc23)cn1,5.54,<rdkit.Chem.rdchem.Mol object at 0x7f59a31deab0>,18,1.3821
NCCn1c(-c2ccccc2)nc2cc(C(N)=O)ccc21,5.55,<rdkit.Chem.rdchem.Mol object at 0x7f59a31deb20>,21,1.7609
Cc1ccc(-c2cccn3nc(Nc4ccc5c(c4)CCNCC5)nc23)c(OCC(C)C)c1,5.55,<rdkit.Chem.rdchem.Mol object at 0x7f59a31deb90>,33,5.17132
CN1CCC(CNc2c(Cl)c[nH]c3nc(-c4ccc(S(C)(=O)=O)cc4)nc2-3)CC1,5.56,<rdkit.Chem.rdchem.Mol object at 0x7f59a31dec00>,29,3.3871
CS(=O)(=O)c1ccc(-c2cccn3nc(NCc4cccnc4)nc23)cc1,5.56,<rdkit.Chem.rdchem.Mol object at 0x7f59a31dec70>,27,2.8069
COc1ccc(-c2nc3[nH]cc(Cl)c(NCC4CCN(C)CC4)c-3n2)c(C)c1,5.57,<rdkit.Chem.rdchem.Mol object at 0x7f59a31dece0>,28,4.30062
NCCn1c(Cc2ccccc2)nc2cc(C(N)=O)ccc21,5.57,<rdkit.Chem.rdchem.Mol object at 0x7f59a31ded50>,22,1.6847
O=C(O)CN1CCN(c2cc(-c3cnc4ccc(N5CCCC5c5cccc(F)c5)nn34)ccn2)CC1,5.57,<rdkit.Chem.rdchem.Mol object at 0x7f59a31dedc0>,37,3.4785
CC(=O)Nc1ccc(-c2nc(Nc3ccc(N4CCOCC4)cc3)ncc2C(F)(F)F)cc1,5.57,<rdkit.Chem.rdchem.Mol object at 0x7f59a31dee30>,33,4.701
N#Cc1ccc(-c2nc3cc(C(N)=O)ccc3n2CCN)cc1,5.58,<rdkit.Chem.rdchem.Mol object at 0x7f59a31deea0>,23,1.63258
Cc1ccc(-c2nc3cc(C(N)=O)ccc3n2CCN)cc1,5.58,<rdkit.Chem.rdchem.Mol object at 0x7f59a31def10>,22,2.06932
Cc1cccn2nc(Nc3ccc(S(C)(=O)=O)cc3)nc12,5.58,<rdkit.Chem.rdchem.Mol object at 0x7f59a31def80>,21,2.18482
NCCn1c(-c2ccc(O)cc2O)nc2cc(C(N)=O)ccc21,5.6,<rdkit.Chem.rdchem.Mol object at 0x7f59a31deff0>,23,1.1721
CN1CCN(c2cccc(Nc3nc4c(-c5ccccc5S(C)(=O)=O)cccn4n3)c2)CC1,5.6,<rdkit.Chem.rdchem.Mol object at 0x7f59a31df060>,33,3.2952
Nc1nc(Nc2cccc(S(N)(=O)=O)c2)nn1C(=O)c1c(F)cccc1F,5.6,<rdkit.Chem.rdchem.Mol object at 0x7f59a31df0d0>,27,1.218
CN(C)c1ccc(Nc2nc(N)n(C(=O)c3c(F)cccc3F)n2)cc1,5.6,<rdkit.Chem.rdchem.Mol object at 0x7f59a31df140>,26,2.6366
c1nc(-c2cn(CC3CO3)nn2)c2cc[nH]c2n1,5.61,<rdkit.Chem.rdchem.Mol object at 0x7f59a31df1b0>,18,0.6152
Cc1ccccc1Oc1cnc2[nH]cc(C(=O)NC(C)C)c2n1,5.63,<rdkit.Chem.rdchem.Mol object at 0x7f59a31df220>,23,3.19682
COc1ccc(-c2nc3[nH]cc(Cl)c(NCC4CCNCC4)c-3n2)cc1OC,5.64,<rdkit.Chem.rdchem.Mol object at 0x7f59a31df290>,28,3.6586
NCCCn1c(CCN)nc2cc(C(N)=O)ccc21,5.66,<rdkit.Chem.rdchem.Mol object at 0x7f59a31df300>,19,-0.0147999999999996
O=C1NC(=O)C(c2c[nH]c3ccccc23)=C1Nc1cccc(OCCNc2ccnc(F)c2)c1,5.67,<rdkit.Chem.rdchem.Mol object at 0x7f59a31df370>,34,3.6725
CC(C)(C)OC(=O)N1CCc2ccc(Nc3nc4c(-c5cccc6c5OC(F)(F)O6)cccn4n3)cc2CC1,5.67,<rdkit.Chem.rdchem.Mol object at 0x7f59a31df3e0>,39,5.79710000000001
COc1ccccc1-c1cccn2nc(N)nc12,5.67,<rdkit.Chem.rdchem.Mol object at 0x7f59a31df450>,18,1.9871
CS(=O)(=O)c1cccc(-c2cccn3nc(N)nc23)c1,5.67,<rdkit.Chem.rdchem.Mol object at 0x7f59a31df4c0>,20,1.382
Nc1nc(Nc2ccc(C(=O)O)cc2)nn1C(=O)c1c(F)cccc1F,5.68,<rdkit.Chem.rdchem.Mol object at 0x7f59a31df530>,26,2.2688
Cc1cccc(Nc2nc3cccc(-c4cccc(C(C)C)c4)n3n2)c1,5.7,<rdkit.Chem.rdchem.Mol object at 0x7f59a31df5a0>,26,5.57172
